SAMPLE	FOFN	TYPE
HG002_8X	fofn/HG002_PacBio_HiFi_8X.fofn	PacBio_HiFi
HG002_8X	fofn/HG002_ONT_8X.fofn	ONT
HG002_8X	fofn/HG002_ONT_UL_8X.fofn	ONT_UL
HG002_10X	fofn/HG002_PacBio_HiFi_10X.fofn	PacBio_HiFi
HG002_10X	fofn/HG002_ONT_10X.fofn	ONT
HG002_10X	fofn/HG002_ONT_UL_10X.fofn	ONT_UL
HG002_12X	fofn/HG002_PacBio_HiFi_12X.fofn	PacBio_HiFi
HG002_12X	fofn/HG002_ONT_12X.fofn	ONT
HG002_12X	fofn/HG002_ONT_UL_12X.fofn	ONT_UL
HG002_15X	fofn/HG002_PacBio_HiFi_15X.fofn	PacBio_HiFi
HG002_15X	fofn/HG002_ONT_15X.fofn	ONT
HG002_15X	fofn/HG002_ONT_UL_15X.fofn	ONT_UL
HG002_17X	fofn/HG002_PacBio_HiFi_17X.fofn	PacBio_HiFi
HG002_17X	fofn/HG002_ONT_17X.fofn	ONT
HG002_17X	fofn/HG002_ONT_UL_17X.fofn	ONT_UL
HG002_20X	fofn/HG002_PacBio_HiFi_20X.fofn	PacBio_HiFi
HG002_20X	fofn/HG002_ONT_20X.fofn	ONT
HG002_20X	fofn/HG002_ONT_UL_20X.fofn	ONT_UL
HG002_25X	fofn/HG002_PacBio_HiFi_25X.fofn	PacBio_HiFi
HG002_25X	fofn/HG002_ONT_25X.fofn	ONT
HG002_25X	fofn/HG002_ONT_UL_25X.fofn	ONT_UL
HG002_30X	fofn/HG002_PacBio_HiFi_30X.fofn	PacBio_HiFi
HG002_30X	fofn/HG002_ONT_30X.fofn	ONT
HG002_30X	fofn/HG002_ONT_UL_30X.fofn	ONT_UL
HG00733_8X	fofn/HG00733_PacBio_HiFi_8X.fofn	PacBio_HiFi
HG00733_8X	fofn/HG00733_ONT_8X.fofn	ONT
HG00733_10X	fofn/HG00733_PacBio_HiFi_10X.fofn	PacBio_HiFi
HG00733_10X	fofn/HG00733_ONT_10X.fofn	ONT
HG00733_10X	fofn/HG00733_ONT_UL_10X.fofn	ONT_UL
HG00733_12X	fofn/HG00733_PacBio_HiFi_12X.fofn	PacBio_HiFi
HG00733_12X	fofn/HG00733_ONT_12X.fofn	ONT
HG00733_12X	fofn/HG00733_ONT_UL_12X.fofn	ONT_UL
HG00733_15X	fofn/HG00733_PacBio_HiFi_15X.fofn	PacBio_HiFi
HG00733_15X	fofn/HG00733_ONT_15X.fofn	ONT
HG00733_15X	fofn/HG00733_ONT_UL_15X.fofn	ONT_UL
HG00733_17X	fofn/HG00733_PacBio_HiFi_17X.fofn	PacBio_HiFi
HG00733_17X	fofn/HG00733_ONT_17X.fofn	ONT
HG00733_17X	fofn/HG00733_ONT_UL_17X.fofn	ONT_UL
HG00733_20X	fofn/HG00733_PacBio_HiFi_20X.fofn	PacBio_HiFi
HG00733_20X	fofn/HG00733_ONT_20X.fofn	ONT
HG00733_20X	fofn/HG00733_ONT_UL_20X.fofn	ONT_UL
HG00733_25X	fofn/HG00733_PacBio_HiFi_25X.fofn	PacBio_HiFi
HG00733_25X	fofn/HG00733_ONT_25X.fofn	ONT
HG00733_25X	fofn/HG00733_ONT_UL_25X.fofn	ONT_UL
HG00733_30X	fofn/HG00733_PacBio_HiFi_30X.fofn	PacBio_HiFi
HG00733_30X	fofn/HG00733_ONT_30X.fofn	ONT
HG00733_30X	fofn/HG00733_ONT_UL_30X.fofn	ONT_UL
HG00733_5X	fofn/HG00733_ONT_UL_5X.fofn	ONT_UL
HG00733_5X	fofn/HG00733_PacBio_HiFi_5X.fofn	PacBio_HiFi
HG002_5X	fofn/HG002_PacBio_HiFi_5X.fofn	PacBio_HiFi
HG00733_8X	fofn/HG00733_ONT_UL_8X.fofn	ONT_UL
